Source,Description,Models,License,URL
AEC Open Data directory (Wiki.OSArch),Primarily IFC files for testing and development; also links to other formats and urban models.,~100+,Unspecified,https://wiki.osarch.org/index.php/AEC_Open_Data_directory
Archicad Sample Projects (Graphisoft Community),Sample projects designed by students and professionals in the Archicad Community forum.,Multiple,Graphisoft EULA,https://community.graphisoft.com/t5/Getting-started/Archicad-Sample-Projects/ta-p/304186
Archicad Sample Projects (Graphisoft),Sample residential ('Hillside House') and commercial ('S-Building') projects in various Archicad versions with documentation.,Multiple,Graphisoft EULA,https://graphisoft.com/us/resources-and-support/welcome-to-archicad-topics/trial-sample-projects
Autodesk (Revit Sample Projects),Official Revit sample projects for multiple disciplines,"5+ (Architecture, Structure, MEP)",Autodesk free sample use (bundled content),https://help.autodesk.com/view/RVT/2025/ENU/?guid=GUID-61EF2F22-3A1F-4317-B925-1E85F138BE88
BIM Whale IFC Samples,"Dummy BIM projects (house, building, etc.)",5 IFC models,MIT License,https://github.com/andrewisen/bim-whale-ifc-samples
BIM-AI Integrated Dataset (Kaggle),BIM data integrated with AI-related information for civil engineering projects.,n/a,Unspecified,https://www.kaggle.com/datasets/ziya07/bim-ai-integrated-dataset
BIMBase.nl (BIM.works Repository),"Stores IFC models (Ifc2x3, Ifc4, Ifc4x3) with query, export, and model check features.",n/a,Unspecified,https://bimbase.nl/bimrepository
BIMData R&D - IFC Files (GitHub),"Curated collection of IFC files (3.7 GB) categorized by building discipline (Architecture, Structure, HVAC, etc.).",n/a,Unspecified,https://github.com/bimdata/BIMData-Research-and-Development/blob/master/pages/IFC_FILES.md
BIMobject,"Extensive library of BIM objects, including Revit families and some project files, from manufacturers.",Thousands,Varies by manufacturer,https://www.bimobject.com/
BIMsmith Market Archicad Content,Free ARCHICAD BIM content (parametric objects) from building product manufacturers.,Thousands,Varies by manufacturer,https://market.bimsmith.com/ARCHICAD
buildingSMART Sample Files (GitHub),Assorted IFC test models for IFC standards,40+ small models,MIT (open-source test models),https://github.com/buildingSMART/Sample-Test-Files
Enscape Sample Projects,"Free sample projects for Revit, Archicad, SketchUp, Vectorworks, and Rhino, showcasing real-time visualization.",10+,Enscape EULA,https://enscape3d.com/free-sample-projects/
Geometry Gym IFC Examples,IFC examples and samples generated by Rhino-Grasshopper plugin (downloadable.zip).,Multiple,Unspecified,https://technical.geometrygym.com/rhino-grasshopper/ifc/ifc-examples
GrabCAD Revit Models,User-uploaded Revit models and projects.,Thousands,Varies by user,https://grabcad.com/library?softwares=autodesk-revit
Graphisoft (Archicad Sample Projects),"Free Archicad project files (e.g., Hillside House)",~3 (Residential designs),"Graphisoft EULA (free use, no redistribution)",https://graphisoft.com/try-archicad/download-your-first-sample-project/
IFC Wiki Examples,Links to various example IFC files hosted on different platforms.,Multiple,Varies by source,https://www.ifcwiki.org/index.php/Examples
Kaggle: 5000 IFC/RVT Projects,Massive dataset of real projects (various domains),"~11,000 files (4,596 IFC, 6,471 RVT)",CC BY or similar (Kaggle open dataset),https://www.kaggle.com/datasets/artemboiko/rvtifc-projects
